Gene_name,Gene_name,biotype,gene_length,Ensembl_ID
CG17477,CG17477,protein_coding,851,FBgn0038479
asRNA:CR44238,asRNA:CR44238,ncRNA,879,FBgn0265169
CG31269,CG31269,protein_coding,937,FBgn0051269
CG31265,CG31265,protein_coding,909,FBgn0051265
CG17475,CG17475,protein_coding,1088,FBgn0038481
CG4053,CG4053,protein_coding,925,FBgn0038482
CG31266,CG31266,protein_coding,993,FBgn0051266
CG31267,CG31267,protein_coding,921,FBgn0051267
CG5246,CG5246,protein_coding,1085,FBgn0038484
CG5255,CG5255,protein_coding,914,FBgn0038485
CG5265,CG5265,protein_coding,2170,FBgn0038486
TwdlW,TwdlW,protein_coding,1126,FBgn0038487
m-cup,m-cup,protein_coding,3792,FBgn0038488
Det,Det,protein_coding,651,FBgn0264291
CG5285,CG5285,protein_coding,983,FBgn0038490
CG5292,CG5292,protein_coding,1855,FBgn0038491
Mur89F,Mur89F,protein_coding,7334,FBgn0038492
CG31262,CG31262,protein_coding,2341,FBgn0051262
beat-IIb,beat-IIb,protein_coding,2456,FBgn0038494
CG44259,CG44259,protein_coding,549,FBgn0265199
CG44257,CG44257,protein_coding,544,FBgn0265197
lncRNA:CR44258,lncRNA:CR44258,ncRNA,620,FBgn0265198
CG31418,CG31418,protein_coding,717,FBgn0051418
CG31419,CG31419,protein_coding,774,FBgn0051419
lncRNA:CR43489,lncRNA:CR43489,ncRNA,936,FBgn0263500
lncRNA:CR43490,lncRNA:CR43490,ncRNA,1031,FBgn0263501
beat-IIa,beat-IIa,protein_coding,3183,FBgn0038498
lncRNA:CR44256,lncRNA:CR44256,ncRNA,487,FBgn0265196
Brf,Brf,protein_coding,2975,FBgn0038499
lute,lute,protein_coding,4070,FBgn0262871
lncRNA:CR43196,lncRNA:CR43196,ncRNA,543,FBgn0262825
asRNA:CR44160,asRNA:CR44160,ncRNA,535,FBgn0265043
sds22,sds22,protein_coding,1354,FBgn0028992
CREG,CREG,protein_coding,1010,FBgn0025456
Sur-8,Sur-8,protein_coding,4681,FBgn0038504
CG34279,CG34279,protein_coding,691,FBgn0085308
CG34280,CG34280,protein_coding,376,FBgn0085309
CG42823,CG42823,protein_coding,508,FBgn0262005
CG42824,CG42824,protein_coding,464,FBgn0262006
CG42798,CG42798,protein_coding,592,FBgn0261932
CG17283,CG17283,protein_coding,1585,FBgn0038505
CG5860,CG5860,protein_coding,1222,FBgn0038506
CG5863,CG5863,protein_coding,1573,FBgn0038507
CG42821,CG42821,protein_coding,448,FBgn0262003
CG42822,CG42822,protein_coding,578,FBgn0262004
CG5866,CG5866,protein_coding,710,FBgn0038508
CG33333,CG33333,protein_coding,576,FBgn0053333
asRNA:CR46034,asRNA:CR46034,ncRNA,518,FBgn0267701
CG42834,CG42834,protein_coding,536,FBgn0262023
CG42835,CG42835,protein_coding,352,FBgn0262024
CG14332,CG14332,protein_coding,513,FBgn0038509
cysu,cysu,protein_coding,3081,FBgn0038511
lncRNA:CR46052,lncRNA:CR46052,ncRNA,345,FBgn0267719
lncRNA:CR46053,lncRNA:CR46053,ncRNA,490,FBgn0267720
CG44090,CG44090,protein_coding,377,FBgn0264899
CG14331,CG14331,protein_coding,1143,FBgn0038510
Eh,Eh,protein_coding,704,FBgn0000564
CG14330,CG14330,protein_coding,887,FBgn0038512
Dscam3,Dscam3,protein_coding,8512,FBgn0261046
lncRNA:CR44349,lncRNA:CR44349,ncRNA,811,FBgn0265449
CG5823,CG5823,protein_coding,1850,FBgn0038515
P5cr-2,P5cr-2,protein_coding,1452,FBgn0038516
l(3)07882,l(3)07882,protein_coding,4315,FBgn0010926
SF1,SF1,protein_coding,3112,FBgn0025571
Prx3,Prx3,protein_coding,1017,FBgn0038519
Hmx,Hmx,protein_coding,3384,FBgn0264005
Sgs5bis,Sgs5bis,protein_coding,550,FBgn0038523
Sgs5,Sgs5,protein_coding,636,FBgn0003375
CG7606,CG7606,protein_coding,1863,FBgn0040565
sll,sll,protein_coding,1994,FBgn0038524
CG14329,CG14329,protein_coding,1103,FBgn0038525
Edg91,Edg91,protein_coding,604,FBgn0004554
CG34281,CG34281,protein_coding,448,FBgn0085310
CG14327,CG14327,protein_coding,883,FBgn0038526
tRNA:Val-CAC-1-1,tRNA:Val-CAC-1-1,tRNA,73,FBgn0012002
tRNA:Pro-TGG-1-1,tRNA:Pro-TGG-1-1,tRNA,72,FBgn0011944
CG14324,CG14324,protein_coding,464,FBgn0038527
CG14326,CG14326,protein_coding,524,FBgn0038528
tRNA:Ala-AGC-2-2,tRNA:Ala-AGC-2-2,tRNA,73,FBgn0051570
tRNA:Pro-TGG-1-2,tRNA:Pro-TGG-1-2,tRNA,72,FBgn0011945
tRNA:Ala-AGC-2-3,tRNA:Ala-AGC-2-3,tRNA,73,FBgn0011840
CG14323,CG14323,protein_coding,914,FBgn0038529
tRNA:Ala-AGC-2-4,tRNA:Ala-AGC-2-4,tRNA,73,FBgn0053534
tRNA:Thr-AGT-1-5,tRNA:Thr-AGT-1-5,tRNA,74,FBgn0011993
tRNA:Thr-AGT-1-6,tRNA:Thr-AGT-1-6,tRNA,74,FBgn0011994
AttD,AttD,protein_coding,742,FBgn0038530
CG14325,CG14325,protein_coding,1383,FBgn0038531
tRNA:Val-AAC-1-2,tRNA:Val-AAC-1-2,tRNA,73,FBgn0051591
CG43175,CG43175,protein_coding,684,FBgn0262794
tRNA:Ala-AGC-2-5,tRNA:Ala-AGC-2-5,tRNA,73,FBgn0051569
tRNA:Pro-TGG-1-3,tRNA:Pro-TGG-1-3,tRNA,72,FBgn0051573
lncRNA:CR45222,lncRNA:CR45222,ncRNA,356,FBgn0266749
tRNA:Ala-AGC-2-6,tRNA:Ala-AGC-2-6,tRNA,73,FBgn0051568
tRNA:Pro-TGG-1-4,tRNA:Pro-TGG-1-4,tRNA,72,FBgn0051578
tRNA:Ala-AGC-2-7,tRNA:Ala-AGC-2-7,tRNA,73,FBgn0051579
tRNA:Ala-AGC-2-8,tRNA:Ala-AGC-2-8,tRNA,73,FBgn0051580
lncRNA:CR45223,lncRNA:CR45223,ncRNA,6258,FBgn0266750
CG14322,CG14322,protein_coding,5917,FBgn0038532
tRNA:Ala-AGC-1-1,tRNA:Ala-AGC-1-1,tRNA,73,FBgn0051577
tRNA:Ala-AGC-2-9,tRNA:Ala-AGC-2-9,tRNA,73,FBgn0051575
CG45045,CG45045,protein_coding,254,FBgn0266405
tRNA:Ala-AGC-2-10,tRNA:Ala-AGC-2-10,tRNA,73,FBgn0051576
CG7523,CG7523,protein_coding,1134,FBgn0038533
Mps1,Mps1,protein_coding,2141,FBgn0000063
alt,alt,protein_coding,4464,FBgn0038535
CG7655,CG7655,protein_coding,1046,FBgn0038536
CG31251,CG31251,protein_coding,1060,FBgn0051251
CG31360,CG31360,protein_coding,649,FBgn0051360
CG31249,CG31249,protein_coding,1176,FBgn0051249
osa,osa,protein_coding,10723,FBgn0261885
lncRNA:CR46036,lncRNA:CR46036,ncRNA,1133,FBgn0267703
lncRNA:CR46035,lncRNA:CR46035,ncRNA,1887,FBgn0267702
Pxt,Pxt,protein_coding,2716,FBgn0261987
Atg8b,Atg8b,protein_coding,654,FBgn0038539
Lgr1,Lgr1,protein_coding,3222,FBgn0016650
CG14321,CG14321,protein_coding,702,FBgn0038540
TyrRII,TyrRII,protein_coding,4428,FBgn0038541
TyrR,TyrR,protein_coding,5491,FBgn0038542
CG43102,CG43102,protein_coding,12189,FBgn0262562
pasi1,pasi1,protein_coding,874,FBgn0038545
CG7379,CG7379,protein_coding,1787,FBgn0038546
CG17803,CG17803,protein_coding,2238,FBgn0038547
CG17806,CG17806,protein_coding,1613,FBgn0038548
CG17802,CG17802,protein_coding,1706,FBgn0038549
CG17801,CG17801,protein_coding,1220,FBgn0038550
Odj,Odj,protein_coding,1645,FBgn0038551
Alg1,Alg1,protein_coding,1615,FBgn0038552
tinc,tinc,protein_coding,7148,FBgn0261649
Rim,Rim,protein_coding,14257,FBgn0053547
CG12347,CG12347,protein_coding,1007,FBgn0038558
CG43445,CG43445,protein_coding,598,FBgn0263399
cpo,cpo,protein_coding,11566,FBgn0263995
DNaseII,DNaseII,protein_coding,1228,FBgn0000477
CG7785,CG7785,protein_coding,1747,FBgn0038564
CG7794,CG7794,protein_coding,1549,FBgn0038565
htl,htl,protein_coding,4094,FBgn0010389
CG14317,CG14317,protein_coding,1536,FBgn0038566
sr,sr,protein_coding,8113,FBgn0003499
tRNA:Gly-TCC-1-3,tRNA:Gly-TCC-1-3,tRNA,72,FBgn0051242
tRNA:Gly-TCC-1-4,tRNA:Gly-TCC-1-4,tRNA,72,FBgn0051518
CG14316,CG14316,protein_coding,1468,FBgn0038567
lncRNA:CR45103,lncRNA:CR45103,ncRNA,605,FBgn0266564
asRNA:CR45104,asRNA:CR45104,ncRNA,1580,FBgn0266565
CG14315,CG14315,protein_coding,771,FBgn0038568
CG7218,CG7218,protein_coding,2543,FBgn0038569
Cbp20,Cbp20,protein_coding,600,FBgn0022943
Prx5,Prx5,protein_coding,1449,FBgn0038570
CG7215,CG7215,protein_coding,1449,FBgn0038571
wrd,wrd,protein_coding,7793,FBgn0042693
cdm,cdm,protein_coding,3691,FBgn0261532
CG7208,CG7208,protein_coding,1744,FBgn0038575
Arp5,Arp5,protein_coding,2320,FBgn0038576
CG12321,CG12321,protein_coding,903,FBgn0038577
MED17,MED17,protein_coding,2060,FBgn0038578
CG14313,CG14313,protein_coding,652,FBgn0038579
Ssdp,Ssdp,protein_coding,5521,FBgn0011481
CG7985,CG7985,protein_coding,2729,FBgn0028499
CG44158,CG44158,protein_coding,504,FBgn0265041
CG14314,CG14314,protein_coding,1606,FBgn0038581
CG7183,CG7183,protein_coding,2367,FBgn0038583
CG7988,CG7988,protein_coding,885,FBgn0038582
mTerf5,mTerf5,protein_coding,1999,FBgn0038584
Non3,Non3,protein_coding,1093,FBgn0038585
CG7168,CG7168,protein_coding,1034,FBgn0038586
Mdh2,Mdh2,protein_coding,1335,FBgn0262559
repo,repo,protein_coding,2996,FBgn0011701
CG7156,CG7156,protein_coding,2619,FBgn0038588
14-3-3epsilon,14-3-3epsilon,protein_coding,3366,FBgn0020238
CG12320,CG12320,protein_coding,1666,FBgn0038590
CG18598,CG18598,protein_coding,360,FBgn0038589
Rpb4,Rpb4,protein_coding,722,FBgn0263757
Ada2a,Ada2a,protein_coding,2445,FBgn0263738
Tgs1,Tgs1,protein_coding,2089,FBgn0266195
moi,moi,protein_coding,2089,FBgn0261019
CG18599,CG18599,protein_coding,1847,FBgn0038592
Vps39,Vps39,protein_coding,2915,FBgn0038593
eIF1A,eIF1A,protein_coding,1720,FBgn0026250
CG7142,CG7142,protein_coding,1342,FBgn0038595
CG14312,CG14312,protein_coding,494,FBgn0038596
CG8064,CG8064,protein_coding,2901,FBgn0038597
CG7131,CG7131,protein_coding,2040,FBgn0038598
l(3)05822,l(3)05822,protein_coding,3531,FBgn0010877
Dlc90F,Dlc90F,protein_coding,816,FBgn0024432
CG18600,CG18600,protein_coding,1414,FBgn0038601
CG7126,CG7126,protein_coding,675,FBgn0038602
PKD,PKD,protein_coding,4316,FBgn0038603
naz,naz,protein_coding,2494,FBgn0286852
CG15803,CG15803,protein_coding,5268,FBgn0038606
lncRNA:CR45634,lncRNA:CR45634,ncRNA,211,FBgn0267194
hmw,hmw,protein_coding,2041,FBgn0038607
WRNexo,WRNexo,protein_coding,1498,FBgn0038608
Nup43,Nup43,protein_coding,1211,FBgn0038609
gl,gl,protein_coding,3399,FBgn0004618
lncRNA:CR14310,lncRNA:CR14310,ncRNA,402,FBgn0040569
lncRNA:CR44946,lncRNA:CR44946,ncRNA,1962,FBgn0266251
CG7675,CG7675,protein_coding,1390,FBgn0038610
CG14309,CG14309,protein_coding,3341,FBgn0038611
cona,cona,protein_coding,857,FBgn0038612
Vha100-4,Vha100-4,protein_coding,2728,FBgn0038613
Vha100-2,Vha100-2,protein_coding,3222,FBgn0028670
Vti1b,Vti1b,protein_coding,1080,FBgn0264751
Wdr37,Wdr37,protein_coding,2167,FBgn0038617
koko,koko,protein_coding,1419,FBgn0264816
CG7685,CG7685,protein_coding,940,FBgn0038619
CG31122,CG31122,protein_coding,3563,FBgn0051122
CG10864,CG10864,protein_coding,1552,FBgn0038621
fru,fru,protein_coding,18433,FBgn0004652
CG7691,CG7691,protein_coding,1287,FBgn0038626
hemo,hemo,protein_coding,910,FBgn0262823
CG43210,CG43210,protein_coding,910,FBgn0262846
fray,fray,protein_coding,4423,FBgn0023083
CG7694,CG7694,protein_coding,1207,FBgn0038627
qin,qin,protein_coding,6098,FBgn0263974
CG14304,CG14304,protein_coding,3837,FBgn0038629
CG14305,CG14305,protein_coding,1407,FBgn0038630
CG7695,CG7695,protein_coding,693,FBgn0038631
tRNA:Pro-TGG-1-5,tRNA:Pro-TGG-1-5,tRNA,72,FBgn0051228
CG14301,CG14301,protein_coding,1846,FBgn0038632
CG31224,CG31224,protein_coding,7361,FBgn0051224
CstF64,CstF64,protein_coding,1446,FBgn0027841
Cpsf73,Cpsf73,protein_coding,2190,FBgn0261065
Gos28,Gos28,protein_coding,894,FBgn0044871
CG31231,CG31231,protein_coding,2241,FBgn0051231
CG31229,CG31229,protein_coding,777,FBgn0051229
asRNA:CR45028,asRNA:CR45028,ncRNA,911,FBgn0266388
CG7702,CG7702,protein_coding,2404,FBgn0038638
CG31230,CG31230,protein_coding,416,FBgn0051230
dind,dind,protein_coding,2328,FBgn0286828
CG7706,CG7706,protein_coding,2394,FBgn0038640
CG46318,CG46318,protein_coding,3299,FBgn0284234
ChT,ChT,protein_coding,4748,FBgn0038641
Muc91C,Muc91C,protein_coding,3111,FBgn0038642
CG14300,CG14300,protein_coding,357,FBgn0038643
CG34282,CG34282,protein_coding,675,FBgn0085311
lncRNA:CR45996,lncRNA:CR45996,ncRNA,723,FBgn0267658
VAChT,VAChT,protein_coding,7098,FBgn0270928
ChAT,ChAT,protein_coding,4011,FBgn0000303
lncRNA:CR46265,lncRNA:CR46265,ncRNA,376,FBgn0275433
CG34283,CG34283,protein_coding,567,FBgn0085312
CG7714,CG7714,protein_coding,953,FBgn0038645
CG7715,CG7715,protein_coding,823,FBgn0038646
CG14302,CG14302,protein_coding,281,FBgn0038647
Mekk1,Mekk1,protein_coding,6046,FBgn0024329
CG7718,CG7718,protein_coding,1921,FBgn0038649
gwl,gwl,protein_coding,3099,FBgn0260399
Epg5,Epg5,protein_coding,7607,FBgn0038651
CG7720,CG7720,protein_coding,3261,FBgn0038652
Octalpha2R,Octalpha2R,protein_coding,9804,FBgn0038653
lncRNA:CR45633,lncRNA:CR45633,ncRNA,300,FBgn0267193
CG31226,CG31226,protein_coding,389,FBgn0051226
CG14298,CG14298,protein_coding,875,FBgn0038654
CG14297,CG14297,protein_coding,1032,FBgn0038655
Rh2,Rh2,protein_coding,1365,FBgn0003248
CG14294,CG14294,protein_coding,602,FBgn0038656
CG34284,CG34284,protein_coding,520,FBgn0085313
CG14292,CG14292,protein_coding,648,FBgn0038658
EndoA,EndoA,protein_coding,4147,FBgn0038659
Sgsh,Sgsh,protein_coding,1870,FBgn0038660
Xrp1,Xrp1,protein_coding,4826,FBgn0261113
Mpc1,Mpc1,protein_coding,1155,FBgn0038662
CG42613,CG42613,protein_coding,8687,FBgn0261262
CG43732,CG43732,protein_coding,5507,FBgn0263983
euc,euc,protein_coding,477,FBgn0038665
Smu1,Smu1,protein_coding,1942,FBgn0038666
dnk,dnk,protein_coding,1393,FBgn0022338
snRNP-U1-C,snRNP-U1-C,protein_coding,687,FBgn0261792
gukh,gukh,protein_coding,7699,FBgn0026239
CG6005,CG6005,protein_coding,1456,FBgn0038672
CG14286,CG14286,protein_coding,762,FBgn0038673
CG14285,CG14285,protein_coding,989,FBgn0038674
GatA,GatA,protein_coding,1661,FBgn0260779
NP15.6,NP15.6,protein_coding,648,FBgn0027785
P5cr,P5cr,protein_coding,1168,FBgn0015781
Prp18,Prp18,protein_coding,1304,FBgn0027784
CG6013,CG6013,protein_coding,844,FBgn0038675
CG6026,CG6026,protein_coding,5461,FBgn0038676
cdi,cdi,protein_coding,6526,FBgn0004876
lncRNA:CR46041,lncRNA:CR46041,ncRNA,500,FBgn0267708
mRpL55,mRpL55,protein_coding,456,FBgn0038678
ATPsynD,ATPsynD,protein_coding,950,FBgn0016120
CG6040,CG6040,protein_coding,6526,FBgn0038679
Cyp12a5,Cyp12a5,protein_coding,1820,FBgn0038680
Cyp12a4,Cyp12a4,protein_coding,1697,FBgn0038681
Ppcs,Ppcs,protein_coding,4134,FBgn0261285
CG5835,CG5835,protein_coding,1344,FBgn0038682
asRNA:CR44107,asRNA:CR44107,ncRNA,380,FBgn0264916
CG11779,CG11779,protein_coding,2948,FBgn0038683
nos,nos,protein_coding,2349,FBgn0002962
Nsun5,Nsun5,protein_coding,1498,FBgn0259704
CG42359,CG42359,protein_coding,966,FBgn0259705
sqz,sqz,protein_coding,3258,FBgn0010768
CG14282,CG14282,protein_coding,987,FBgn0038685
CG5555,CG5555,protein_coding,2110,FBgn0038686
CG31475,CG31475,protein_coding,2688,FBgn0051475
lncRNA:CR46039,lncRNA:CR46039,ncRNA,973,FBgn0267706
lncRNA:CR46393,lncRNA:CR46393,ncRNA,498,FBgn0286871
cry,cry,protein_coding,1896,FBgn0025680
vib,vib,protein_coding,3569,FBgn0267975
CG11703,CG11703,protein_coding,1278,FBgn0038690
CG5250,CG5250,protein_coding,1060,FBgn0038691
Gdn1,Gdn1,protein_coding,1247,FBgn0038692
unc79,unc79,protein_coding,10179,FBgn0038693
CG5217,CG5217,protein_coding,974,FBgn0038694
CG14280,CG14280,protein_coding,2847,FBgn0038695
lncRNA:CR44173,lncRNA:CR44173,ncRNA,882,FBgn0265062
lncRNA:CR43451,lncRNA:CR43451,ncRNA,940,FBgn0263405
CG44174,CG44174,protein_coding,450,FBgn0265063
Dl,Dl,protein_coding,5278,FBgn0000463
lncRNA:CR44175,lncRNA:CR44175,ncRNA,610,FBgn0265064
hpRNA:CR46343,hpRNA:CR46343,ncRNA,215,FBgn0285993
lncRNA:CR43258,lncRNA:CR43258,ncRNA,1042,FBgn0262903
CG43203,CG43203,protein_coding,781,FBgn0262839
Ino80,Ino80,protein_coding,5243,FBgn0086613
CG3581,CG3581,protein_coding,1033,FBgn0038697
CG31404,CG31404,protein_coding,981,FBgn0051404
CG31245,CG31245,protein_coding,965,FBgn0051245
CR34285,CR34285,pseudogene,1366,FBgn0085314
CG3734,CG3734,protein_coding,1619,FBgn0038700
CG18493,CG18493,protein_coding,1566,FBgn0038701
CG3739,CG3739,protein_coding,1586,FBgn0038702
CG31244,CG31244,protein_coding,1138,FBgn0051244
CG5316,CG5316,protein_coding,2693,FBgn0038704
CG11626,CG11626,protein_coding,2098,FBgn0038705
CG31221,CG31221,protein_coding,4352,FBgn0051221
CG3517,CG3517,protein_coding,1421,FBgn0038706
Dys,Dys,protein_coding,21204,FBgn0260003
Scsalpha2,Scsalpha2,protein_coding,1188,FBgn0038708
CG15025,CG15025,protein_coding,1413,FBgn0038709
snoRNA:Me18S-A1374,snoRNA:Me18S-A1374,snoRNA,68,FBgn0065080
Cpr92A,Cpr92A,protein_coding,1120,FBgn0038714
CG7333,CG7333,protein_coding,1698,FBgn0038715
CG7342,CG7342,protein_coding,2190,FBgn0038716
CG17751,CG17751,protein_coding,1666,FBgn0038717
CG17752,CG17752,protein_coding,1716,FBgn0038718
CG16727,CG16727,protein_coding,2014,FBgn0038719
CG6231,CG6231,protein_coding,4343,FBgn0038720
mir-9373,mir-9373,pre_miRNA,59,FBgn0283555
subdued,subdued,protein_coding,4351,FBgn0038721
CG34138,CG34138,protein_coding,748,FBgn0083974
Vha13,Vha13,protein_coding,943,FBgn0283536
Nup58,Nup58,protein_coding,1820,FBgn0038722
CG6195,CG6195,protein_coding,1250,FBgn0038723
CG31220,CG31220,protein_coding,1421,FBgn0051220
CG31219,CG31219,protein_coding,1139,FBgn0051219
CG6184,CG6184,protein_coding,3641,FBgn0038725
ort,ort,protein_coding,2158,FBgn0003011
CG7432,CG7432,protein_coding,2921,FBgn0038727
Naam,Naam,protein_coding,2084,FBgn0051216
tRNA:Val-CAC-2-5,tRNA:Val-CAC-2-5,tRNA,73,FBgn0012003
CG34286,CG34286,protein_coding,686,FBgn0085315
GluClalpha,GluClalpha,protein_coding,6633,FBgn0024963
lncRNA:CR43488,lncRNA:CR43488,ncRNA,689,FBgn0263499
CG6300,CG6300,protein_coding,1724,FBgn0038730
CG11659,CG11659,protein_coding,1705,FBgn0038731
CG11391,CG11391,protein_coding,1800,FBgn0038732
CG11407,CG11407,protein_coding,1789,FBgn0038733
CG11453,CG11453,protein_coding,1831,FBgn0038734
tRNA:Val-CAC-2-6,tRNA:Val-CAC-2-6,tRNA,73,FBgn0012004
tRNA:Ala-AGC-2-11,tRNA:Ala-AGC-2-11,tRNA,73,FBgn0051215
bnl,bnl,protein_coding,4559,FBgn0014135
tRNA:Thr-AGT-1-7,tRNA:Thr-AGT-1-7,tRNA,74,FBgn0051471
CG31459,CG31459,protein_coding,1014,FBgn0051459
MICU3,MICU3,protein_coding,2767,FBgn0038735
Ire1,Ire1,protein_coding,4034,FBgn0261984
CG11447,CG11447,protein_coding,991,FBgn0038737
CG4572,CG4572,protein_coding,1877,FBgn0038738
CG4686,CG4686,protein_coding,1195,FBgn0038739
CG4562,CG4562,protein_coding,6617,FBgn0038740
CG17186,CG17186,protein_coding,1482,FBgn0038741
Arc42,Arc42,protein_coding,1418,FBgn0038742
Ask1,Ask1,protein_coding,5168,FBgn0014006
ninaE,ninaE,protein_coding,1588,FBgn0002940
CG4733,CG4733,protein_coding,3663,FBgn0038744
CG4538,CG4538,protein_coding,4139,FBgn0038745
Surf6,Surf6,protein_coding,1150,FBgn0038746
RhoGAP92B,RhoGAP92B,protein_coding,3980,FBgn0038747
lncRNA:CR45047,lncRNA:CR45047,ncRNA,411,FBgn0266407
lncRNA:CR45048,lncRNA:CR45048,ncRNA,1835,FBgn0266408
Xport-B,Xport-B,protein_coding,1029,FBgn0260234
Xport-A,Xport-A,protein_coding,949,FBgn0038749
CG4465,CG4465,protein_coding,1917,FBgn0038750
CG4770,CG4770,protein_coding,1565,FBgn0038751
lncRNA:CR43282,lncRNA:CR43282,ncRNA,667,FBgn0262971
hpRNA:1,hpRNA:1,ncRNA,155,FBgn0285966
lncRNA:CR46040,lncRNA:CR46040,ncRNA,359,FBgn0267707
CG4462,CG4462,protein_coding,2194,FBgn0038752
CG4459,CG4459,protein_coding,2062,FBgn0038753
Hs6st,Hs6st,protein_coding,3100,FBgn0038755
mira,mira,protein_coding,3322,FBgn0021776
CG46042,CG46042,protein_coding,353,FBgn0267709
CG4783,CG4783,protein_coding,410,FBgn0038756
CG31213,CG31213,protein_coding,6020,FBgn0051213
MED25,MED25,protein_coding,2766,FBgn0038760
CG17190,CG17190,protein_coding,932,FBgn0038761
CG4836,CG4836,protein_coding,4089,FBgn0270925
PIG-L,PIG-L,protein_coding,2275,FBgn0038763
psidin,psidin,protein_coding,3509,FBgn0243511
CG4424,CG4424,protein_coding,1258,FBgn0038765
CG4854,CG4854,protein_coding,1220,FBgn0038766
trem,trem,protein_coding,1525,FBgn0038767
CG4936,CG4936,protein_coding,1824,FBgn0038768
Regnase-1,Regnase-1,protein_coding,2176,FBgn0038769
CG17193,CG17193,protein_coding,3938,FBgn0040571
CG33934,CG33934,protein_coding,4064,FBgn0064119
Indy-2,Indy-2,protein_coding,4064,FBgn0260466
CG4390,CG4390,protein_coding,1190,FBgn0038771
mdlc,mdlc,protein_coding,1419,FBgn0038772
Rh3,Rh3,protein_coding,1391,FBgn0003249
CG31206,CG31206,protein_coding,856,FBgn0051206
CG10887,CG10887,protein_coding,2188,FBgn0038773
Gr92a,Gr92a,protein_coding,1161,FBgn0045471
lncRNA:CR42836,lncRNA:CR42836,ncRNA,693,FBgn0262025
CG5023,CG5023,protein_coding,789,FBgn0038774
Nlg4,Nlg4,protein_coding,6265,FBgn0083975
CG17199,CG17199,protein_coding,1591,FBgn0038775
lncRNA:CR46043,lncRNA:CR46043,ncRNA,585,FBgn0267710
cic,cic,protein_coding,12579,FBgn0262582
CG4367,CG4367,protein_coding,962,FBgn0038783
CG4362,CG4362,protein_coding,829,FBgn0038784
CG42668,CG42668,protein_coding,5637,FBgn0261550
CG4360,CG4360,protein_coding,3569,FBgn0038787
asRNA:CR45800,asRNA:CR45800,ncRNA,732,FBgn0267450
Sirt2,Sirt2,protein_coding,2285,FBgn0038788
Ir92a,Ir92a,protein_coding,2037,FBgn0038789
lncRNA:CR45023,lncRNA:CR45023,ncRNA,1215,FBgn0266381
MtnC,MtnC,protein_coding,268,FBgn0038790
Gfrl,Gfrl,protein_coding,9719,FBgn0262869
CG4335,CG4335,protein_coding,1198,FBgn0038795
eIF3g2,eIF3g2,protein_coding,979,FBgn0038796
lncRNA:CR44400,lncRNA:CR44400,ncRNA,393,FBgn0265550
lncRNA:CR44401,lncRNA:CR44401,ncRNA,902,FBgn0265551
Dic2,Dic2,protein_coding,1119,FBgn0038797
CG46441,CG46441,protein_coding,587,FBgn0287211
MtnB,MtnB,protein_coding,584,FBgn0002869
Or92a,Or92a,protein_coding,1234,FBgn0038798
MFS9,MFS9,protein_coding,2100,FBgn0038799
MtnE,MtnE,protein_coding,604,FBgn0262146
MtnD,MtnD,protein_coding,274,FBgn0053192
Stat92E,Stat92E,protein_coding,5210,FBgn0016917
DPCoAC,DPCoAC,protein_coding,2265,FBgn0067783
att-ORFB,att-ORFB,protein_coding,1327,FBgn0067782
CG5180,CG5180,protein_coding,1517,FBgn0043457
CG15922,CG15922,protein_coding,462,FBgn0040575
CG5191,CG5191,protein_coding,3325,FBgn0038803
CG10877,CG10877,protein_coding,1582,FBgn0038804
snoRNA:Psi18S-301,snoRNA:Psi18S-301,snoRNA,138,FBgn0083039
TFAM,TFAM,protein_coding,1242,FBgn0038805
CG5412,CG5412,protein_coding,1020,FBgn0038806
EloB,EloB,protein_coding,1207,FBgn0023212
Srp14,Srp14,protein_coding,464,FBgn0038808
CG34008,CG34008,protein_coding,715,FBgn0054008
CG16953,CG16953,protein_coding,2813,FBgn0038809
Sep2,Sep2,protein_coding,1688,FBgn0014029
asRNA:CR46044,asRNA:CR46044,ncRNA,547,FBgn0267711
Srp72,Srp72,protein_coding,2149,FBgn0038810
Pus1,Pus1,protein_coding,1466,FBgn0038811
bon,bon,protein_coding,5811,FBgn0023097
tRNA:Leu-TAA-1-1,tRNA:Leu-TAA-1-1,tRNA,84,FBgn0051506
CG15923,CG15923,protein_coding,4319,FBgn0038814
CG5466,CG5466,protein_coding,2907,FBgn0038815
H,H,protein_coding,6004,FBgn0001169
Pi3K92E,Pi3K92E,protein_coding,4839,FBgn0015279
Lrrk,Lrrk,protein_coding,8022,FBgn0038816
GluRIIE,GluRIIE,protein_coding,3444,FBgn0051201
GluRIID,GluRIID,protein_coding,3080,FBgn0028422
Nep4,Nep4,protein_coding,4019,FBgn0038818
Cpr92F,Cpr92F,protein_coding,1858,FBgn0038819
CG4000,CG4000,protein_coding,999,FBgn0038820
asRNA:CR45024,asRNA:CR45024,ncRNA,716,FBgn0266382
lncRNA:CR43452,lncRNA:CR43452,ncRNA,897,FBgn0263406
Oamb,Oamb,protein_coding,5533,FBgn0024944
CG31205,CG31205,protein_coding,1020,FBgn0051205
CR42786,CR42786,pseudogene,510,FBgn0261857
Cdk2,Cdk2,protein_coding,2299,FBgn0004107
mir-995,mir-995,pre_miRNA,90,FBgn0262185
CG17267,CG17267,protein_coding,1510,FBgn0038821
CG42322,CG42322,protein_coding,4229,FBgn0259222
CG31199,CG31199,protein_coding,1013,FBgn0051199
